Player,Pos,Tm,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,PTS,AST,TRB,STL,BLK,is_frontcourt
nicolas batum 19,SF,LAC,32.0,67.0,1835.0,12.9,0.617,0.66,0.141,3.2,15.9,9.7,10.5,1.9,1.8,10.8,11.8,2.7,2.3,5.0,0.132,0.6,1.5,2.1,1.9,3.6,3.0,4.5,0.8,0.4,0
willie cauley-stein 19,C,DAL,27.0,53.0,906.0,14.3,0.647,0.06,0.429,8.1,20.5,14.3,5.3,1.1,4.4,11.8,12.0,1.6,1.2,2.8,0.147,-2.2,0.9,-1.3,0.2,7.2,1.3,5.8,0.9,1.1,0
yogi ferrell 19,PG,TOT,27.0,10.0,136.0,14.4,0.459,0.491,0.158,4.1,11.4,7.8,22.9,2.5,2.0,4.7,20.7,0.1,0.2,0.3,0.099,-0.5,0.8,0.2,0.1,4.4,1.4,1.0,0.4,0.1,0
bryn forbes 19,SG,MIL,27.0,70.0,1354.0,12.8,0.631,0.645,0.115,0.9,7.6,4.3,4.5,0.8,0.1,7.3,18.5,2.0,0.7,2.7,0.096,0.4,-1.7,-1.3,0.2,11.2,1.7,2.0,0.5,0.0,0
rudy gay 19,PF,SAS,34.0,63.0,1358.0,14.7,0.532,0.443,0.162,3.2,20.9,11.9,9.7,1.6,2.5,8.8,23.6,0.0,1.7,1.7,0.059,-0.1,0.0,-0.1,0.6,10.8,1.7,5.4,0.5,0.5,0
shai gilgeous-alexander 19,SG,OKC,22.0,35.0,1180.0,21.6,0.623,0.301,0.405,1.7,13.1,7.3,31.2,1.1,1.7,13.7,27.8,2.7,0.8,3.5,0.143,3.9,0.2,4.1,1.8,19.0,3.3,5.9,1.1,0.7,0
jamychal green 19,PF,DEN,30.0,58.0,1120.0,13.6,0.59,0.529,0.152,8.6,19.4,14.0,6.4,1.1,1.9,11.7,17.6,1.4,1.2,2.6,0.11,-0.5,-1.0,-1.5,0.1,6.8,0.8,6.2,0.5,0.4,0
blake griffin 19,PF,TOT,31.0,46.0,1186.0,12.9,0.546,0.499,0.285,3.4,17.4,10.5,17.0,1.3,1.1,11.8,19.3,0.9,1.1,2.0,0.081,-0.8,0.0,-0.8,0.3,15.5,3.3,4.7,0.4,0.4,0
juancho hernangomez 19,PF,MIN,25.0,52.0,900.0,12.1,0.549,0.562,0.324,5.2,20.0,12.3,5.6,1.0,0.7,7.3,17.2,0.6,0.5,1.1,0.06,-1.1,-1.8,-2.9,-0.2,6.0,0.8,4.1,0.4,0.2,0
dwight howard 19,C,PHI,35.0,69.0,1196.0,17.8,0.61,0.066,0.693,17.8,35.3,26.7,7.2,1.2,4.7,22.1,18.2,1.3,2.6,4.0,0.159,-2.1,0.6,-1.5,0.1,7.5,0.7,7.3,0.4,1.1,0
brook lopez 19,C,MIL,32.0,70.0,1902.0,15.4,0.611,0.439,0.222,6.0,13.0,9.6,3.5,1.0,4.8,8.3,16.9,3.1,2.2,5.3,0.133,0.0,0.0,0.0,0.9,12.0,1.5,4.6,0.7,2.4,0
kevin love 19,PF,CLE,32.0,25.0,622.0,15.1,0.556,0.619,0.202,3.0,31.2,16.7,16.0,1.3,0.3,12.2,21.9,0.3,0.6,0.9,0.073,0.9,-0.9,-0.1,0.3,17.6,3.2,9.8,0.6,0.3,0
jordan mclaughlin 19,PG,MIN,24.0,51.0,938.0,12.0,0.502,0.38,0.124,2.3,10.4,6.2,28.0,2.6,0.6,16.7,13.7,0.6,0.6,1.2,0.062,-2.0,0.2,-1.7,0.1,7.6,4.2,1.6,1.1,0.1,0
malik monk 19,SG,CHO,22.0,42.0,878.0,13.6,0.569,0.531,0.18,1.7,10.9,6.2,15.7,1.1,0.5,11.3,23.8,0.5,0.5,1.0,0.054,0.2,-2.0,-1.8,0.0,10.3,2.1,2.9,0.5,0.3,0
dejounte murray 19,PG,SAS,24.0,67.0,2139.0,16.5,0.509,0.204,0.138,2.8,21.1,11.8,25.9,2.3,0.3,10.2,23.4,0.7,2.6,3.3,0.074,-0.2,1.0,0.8,1.5,10.9,4.1,5.8,1.7,0.3,0
