PLAYER,TEAM,AGE,GP,W,L,WIN%,WINNER,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
maxi kleber 19,dal,28.0,74.0,42.0,32.0,0.5676,1,25.5,112.6,109.2,3.4,6.5,1.52,12.6,5.4,13.6,9.5,8.3,57.7,60.5,13.4,101.5,8.2,3982.0
delon wright 19,dal,28.0,73.0,42.0,31.0,0.5753,1,21.5,111.2,109.5,1.7,21.5,3.34,31.6,4.0,12.4,8.2,9.4,51.9,55.4,14.0,101.55,10.6,3312.0
dillon brooks 19,mem,24.0,73.0,34.0,39.0,0.4658,0,28.9,108.5,108.9,-0.3,10.4,1.21,10.6,3.0,7.6,5.4,8.7,47.6,51.0,24.7,103.55,6.2,4544.0
duncan robinson 19,mia,26.0,73.0,44.0,29.0,0.6027,1,29.7,113.8,106.2,7.5,6.8,1.46,11.6,0.5,9.9,5.4,7.9,66.7,68.4,15.7,99.23,8.2,4483.0
justin holiday 19,ind,31.0,73.0,45.0,28.0,0.6164,1,25.0,107.7,106.4,1.3,6.8,2.11,14.3,1.7,10.4,6.2,6.7,56.6,58.5,13.0,102.37,7.6,3886.0
mikal bridges 19,phx,23.0,73.0,34.0,39.0,0.4658,0,28.0,111.0,108.1,2.9,8.6,1.77,17.4,3.2,10.7,7.0,9.9,58.3,62.0,12.5,103.12,8.2,4382.0
monte morris 19,den,25.0,73.0,46.0,27.0,0.6301,1,22.4,110.2,109.3,0.8,21.9,4.81,28.1,1.4,6.7,4.0,5.8,51.7,54.5,16.8,100.03,9.9,3422.0
nikola jokic 19,den,25.0,73.0,46.0,27.0,0.6301,1,32.0,113.4,108.9,4.5,35.0,2.27,26.4,7.3,23.7,15.5,11.6,56.5,60.5,26.6,96.9,17.9,4733.0
bam adebayo 19,mia,22.0,72.0,44.0,28.0,0.6111,1,33.6,112.6,107.7,5.0,23.8,1.8,24.0,7.7,22.4,15.3,13.3,55.8,59.8,21.2,98.36,14.7,4952.0
buddy hield 19,sac,27.0,72.0,31.0,41.0,0.4306,0,30.8,108.9,111.9,-3.1,15.3,1.27,13.4,2.5,12.4,7.4,10.6,54.5,56.6,26.3,100.92,10.4,4676.0
cory joseph 19,sac,28.0,72.0,31.0,41.0,0.4306,0,24.4,107.3,107.6,-0.3,19.9,3.14,32.5,2.4,8.2,5.3,10.3,48.3,51.7,12.7,99.76,7.0,3641.0
furkan korkmaz 19,phi,22.0,72.0,42.0,30.0,0.5833,1,21.7,109.3,106.6,2.7,7.3,1.34,10.6,1.1,9.3,5.2,7.9,55.7,57.9,17.7,102.27,7.8,3322.0
harrison barnes 19,sac,28.0,72.0,31.0,41.0,0.4306,0,34.5,108.9,111.4,-2.5,9.2,1.81,13.7,3.0,11.1,7.0,7.6,52.5,57.4,17.2,100.86,9.0,5217.0
ivica zubac 19,lac,23.0,72.0,49.0,23.0,0.6806,1,18.4,113.0,104.1,8.9,9.1,1.34,13.6,14.0,24.0,19.1,10.1,61.3,65.1,16.3,101.14,14.3,2786.0
