,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,Anthony Edwards,MIN,19,72,23,49,32.1,110.6,115.6,-5,14.2,1.32,12.4,2.3,12.1,7,9.4,48.8,52.3,26.4,102.71,9.4,4961
1,Bojan Bogdanovic,UTA,32,72,52,20,30.8,116.8,107.3,9.5,9.1,1.06,10.4,1.8,9.9,6,9.8,53.6,58.8,22.5,99.94,9.4,4604
1,Duncan Robinson,MIA,27,72,40,32,31.4,110.6,108.3,2.3,8.2,1.57,13.4,0.3,10.9,5.7,8.5,61.4,62.8,16.2,97.55,7.5,4602
1,Dwayne Bacon,ORL,25,72,21,51,25.7,101.3,112.8,-11.4,8,2.02,9.9,1.5,10.2,5.6,4.9,44.3,49,19.3,100.39,6.9,3875
1,Enes Freedom,POR,29,72,42,30,24.4,119.7,114.8,4.9,6.9,1.08,10.6,14.8,28.1,21.3,9.8,60.5,63.6,16.9,98.79,14.1,3607
1,Georges Niang,UTA,28,72,52,20,16,114.9,100.3,14.6,7.1,1.16,11.2,2.4,11.7,7.2,9.7,59,60.2,16.9,101.74,7.6,2445
1,Ivica Zubac,LAC,24,72,47,25,22.3,114.3,109.3,5,7.9,1.11,13.9,12.1,20,16.2,12.5,65.4,69.3,14.7,98.99,11.7,3324
1,Justin Holiday,IND,32,72,34,38,30.3,110.5,111.2,-0.6,7,2.2,14.3,1.4,9.8,5.7,6.5,55.1,57.1,13.8,103.14,6.5,4684
1,Mikal Bridges,PHX,24,72,51,21,32.6,117.5,110,7.4,8.5,2.67,16.3,3.5,9.9,6.8,6.1,64.3,66.7,14.7,98.32,9.9,4800
1,Nikola Jokic,DEN,26,72,47,25,34.6,120.2,112.6,7.7,37.7,2.7,26.2,8.7,23.7,16.3,9.7,60.2,64.7,29.3,98.15,20.1,5084
1,RJ Barrett,NYK,21,72,41,31,34.9,110,107.2,2.7,13.4,1.56,14.1,2.7,13,7.9,9,49.9,53.5,22.8,97.54,9.5,5101
12,Andrew Wiggins,GSW,26,71,38,33,33.3,108.9,109.1,-0.2,11,1.33,11.5,3.4,10.6,7.1,8.7,54.3,56.8,22.9,103.17,9.9,5085
12,Buddy Hield,SAC,28,71,31,40,34.3,114.5,116.3,-1.8,14.1,1.98,18.2,1.2,12.6,6.9,9.2,54.8,56.7,20.1,101.26,8.4,5149
